language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	 	glosses_ru	back_translation_ru	comms_internal
107	Svan	91	listen	X (listen) to Y	слушать	X (слушать) Y	x-o-hwnär-i (PRS)	NOM	DAT	Y	NOM_DAT		maizer-Ø radio-s x-o-hwnär-i	PN-NOM radio-DAT IO3-VER:O-listen-PRS	‘Maizer is listening to the radio.’			
107	Svan	92	obey	X (obey) Y	слушаться	X (слушаться) Y-a	x-o-ǯräw-i (PRS)	ERG	DAT	Y	ERG_DAT		maizer-Ø dede-s čiγad x-o-ǯräw-i 	PN-NOM mother-DAT always IO3-VER:O-obey-PRS	‘Maizer obeys (his) mother.’			
107	Svan	93	hear	X (hear) Y	слышать	X (слышать) Y	x-e-sm-i (PRS)	DAT	NOM	X	DAT_NOM		maizer-s musik'a-Ø x-e-sm-i	PN-DAT music-NOM IO3-VER:R-hear-PRS	‘Maizer hears the music.’			Same as 78.
107	Svan	94	mix	X (get mixed) with Y	смешаться	X (смешаться) с Y-ом	lä-x-načt-äːn (AOR)	NOM	DAT	Y	NOM_DAT		twil-Ø lǝǯe-s lä-x-načt-äːn	honey-NOM milk-DAT PRV:SLIGHTLY-IO3-mix-PST	‘The honey got mixed with milk.’			
107	Svan	95	look	X (look) at Y	смотреть	X (смотреть) на Y	x-o-sgd-i (PRS)	NOM	DAT	Y	NOM_DAT		maizer-Ø dec-s x-o-sgd-i	PN-NOM sky-DAT IO3-VER:O-look_at-PRS	‘Maizer is looking at the sky.’			Same as 9.
107	Svan	96	take_off	X (take off) Y	снимать	X (снимать) Y (рубашку)	Ø-i-ked (PRS)	ERG	NOM	TR	TR		maizer-d pupäik'a-Ø k-aː-Ø-t'k'id	PN-ERG jersey-NOM PRV:OUTWARD-PRV:DIST-DO3-undress	‘Maizer took off (his) jersey.’			
107	Svan	97	dream#sleeping#	X (dream) about Y	сниться	X-у (сниться) Y	x-eː-cn-äw (PRS)	DAT	NOM	X	DAT_NOM		maizer-s lile-Ø x-eː-cn-äw	PN-DAT PN-NOM IO3-VER:R-dream-SM	‘Maizer dreams about Lile.’			
107	Svan	98	agree	X (agree) with Y	соглашаться	X (соглашаться) с Y-ом	adu-s x-a-t'ːul-i (PRS)	ERG	NOM	TR	TR		maizer-d lile-s aduː-Ø x-äː-kw-e	PN-ERG PN-DAT yes-NOM IO3-VER:SUP-tell-PST	‘Maizer agreed with Lile’ (lit. ‘Maizer told Lile “yes”’).			CV
107	Svan	99	have_a_quarrel	X (have a quarrel) with Y	ссориться	X (ссориться) с кем Y	x-e-cwäːl (PRS)	NOM	DAT	Y	NOM_DAT		maizer-Ø lile-s ät-cuːdː-a	PN-NOM PN-DAT PRV:DIST.IO3.VER:O-quarrel-PST	‘Maizer had a quarrel with Lile.’			
107	Svan	100	cost	X (cost) Y	стоить	X (стоить) Y (один доллар)	x-a-ǯeš (PRS)	NOM	NOM(NO.AGR)	Y	NOM_NOM(NO.AGR)		al č'ik-Ø ešxu lar-Ø x-a-ǯeš	DEM.PROX cup-NOM one Lari-NOM IO3-VER:SUP-resemble	‘This cup costs one Lari.’			Same verb as 6, different pattern.
107	Svan	101	shoot_at	X (shoot) at Y	стрелять	X (стрелять) в Y-а	x-ä-pšwd-e (PRS)	ERG	DAT	Y	ERG_DAT		maizer-d näp'ol-s a-x-pišwd	PN-ERG bird-DAT PRV:DIST-IO3-shoot	‘Maizer shot at the bird.’			
107	Svan	102	pour	X (pour) Y	сыпать	X (сыпать) Y	Ø-i-šd-e (PRS)	ERG	NOM	TR	TR		maizer-d č'ik-te-isga šakär-Ø äd-Ø-šid	PN-ERG cup-ALL-INESS sugar-NOM PRV:DIST.VER:S-DO3-scatter	‘Maizer poured the sugar into the cup.’			
107	Svan	103	lose	X (lose) Y	терять	X (терять) Y	a-Ø-kräw-i (PRS)	ERG	NOM	TR	TR		maizer-d k'ǝl-ar-Ø ad-Ø-karw-e	PN-ERG key-PL-NOM PRV:DIST-DO3-lose-PST	‘Maizer lost (his) keys.’			
107	Svan	104	sink	X (sink) in Y	тонуть	X (тонуть) в Y-е	Ø-i-q'm-i (PRS)	NOM	INESS	Y	NOM_INESS	This verb usually requires an animate subject and can also mean ‘choke.’	cicw-Ø lic-isga č-äd-Ø-q'im-äːn	cat-NOM water-INESS PRV:DOWNWARD-PRV:DIST-S3-drown-PST	‘The cat drowned in the water.’			kinišk'vidu, dišk'vidu - adamianze
107	Svan	105	kill	X (kill) Y	убивать	X (убивать) Y-а	ad-Ø-gär-i (PRS)	ERG	NOM	TR	TR		maizer-d gegi-Ø ad-Ø-gäːr	PN-ERG PN-NOM PRV:DIST-DO3-kill.PST	‘Maizer killed Gegi.’			
107	Svan	106	hit	X (hit) Y	ударить	X (ударять) Y-а	a-Ø-qd-e (FUT)	ERG	DAT	Y	ERG_DAT		maizer-d gegi-s ši-Ø x-a-qid	PN-ERG PN-DAT hand-NOM IO3-VER:SUP-hit	‘Maizer hit Gegi with (his) hand.’			CV. The DO here is ‘hand.’
107	Svan	107	kiss	X (kiss) Y	целовать	X (целовать) Y-а	x-e-qx-äːn (PRS)	NOM	DAT	Y	NOM_DAT		maizer-Ø lile-s xaq'ba-ži lä-x-qax-äːn	PN-NOM PN-DAT cheek-SUPERESS PRV:SLIGHTLY-IO3-kiss-PST	‘Maizer kissed Lile on the cheek.’			
107	Svan	108	read	X (read) Y	читать	X (читать) Y-а	Ø-i-č'wdaːn-i (PRS)	ERG	NOM	TR	TR		maizer-d saint'ereso lǝir-Ø ad-Ø-č'odaːn-e	PN-ERG interesting book-NOM PRV:DIST-DO3-read-PST	‘Maizer read an interesting book.’			
107	Svan	109	move#bodypart#	X (move) Y	шевелить	X (шевелить) Y-ом	a-Ø-ktun-e (PRS)	ERG	NOM	TR	TR		maizer-d pxule-Ø ad-Ø-kutwn-e	PN-ERG finger-NOM PRV:DIST-DO3-move-PST	‘Maizer moved his finger.’			kuduxvarxvalu (odnav), šearxiasavito
107	Svan	110	respect	X (respect) Y	уважать	X (уважать) Y-а	a-l-gwen-i (PRS)	ERG	NOM	TR	TR		maizer-Ø lile-s a-l-gwen-i	PN-NOM PN-DAT PRV:DIST-S3-value-PRS	‘Maizer respects Lile’ (lit. ‘Maizer values Lile’).			
107	Svan	111	be_squeamish	X (be squeamish) about Y	брезговать	X (брезговать) Y-ом	x-ä-sisg (PRS)	DAT	NOM	X	DAT_NOM		maizer-s c'idär šedmak'wd-är-Ø x-ä-sisg	PN-DAT dirty plates&dishes-PL-NOM IO3-VER:SUP-hate	‘Maizer is squeamish about dirty dishes.’			Same as 57, 126.
107	Svan	112	be_content	X (be content) with	быть довольным	X (быть довольным) Y-ом	x-a-žax (PRS)	DAT	NOM	X	DAT_NOM		maizer-s miča gezal-Ø x-a-žax	PN-DAT POSS3 child-NOM IO3-VER:SUP-name	‘Maizer is proud of his child.’			The term ‘name’ in the Georgian culture is connected with the concept of pride.
107	Svan	113	fall_in_love	X (fall in love) with Y	влюбляться	X (влюбляться) в Y-a	sga-x-eː-lt'-i (FUT)	DAT	NOM	X	DAT_NOM		maizer-s lile-Ø la-x-lat'-ǝn	PN-DAT PN-NOM PRV:SLIGHTLY-IO3-love-PST	‘Maizer fell in love with Lile.’			
107	Svan	114	trust	X (trust) Y	доверять	X (доверять) Y-у	x-e-munden-i (PRS)	NOM	DAT	Y	NOM_DAT		maizer-Ø lile-s x-e-munden-i	PN-DAT PN-NOM IO3-VER:R-trust-PRS	‘Maizer trusts Lile.’			
107	Svan	115	sympathise	X (sympathise) with Y	жалеть	X (жалеть) Y-а	x-o-žr-i (PRS)	DAT	NOM	X	DAT_NOM		maizer-s di-Ø x-o-žr-i	PN-DAT mother-NOM IO3-VER:O-pity-PRS	‘Maizer sympathizes with his mother.’			
107	Svan	116	envy	X (envy) Y	завидовать	X (завидовать) Y-у	x-a-txäm (PRS)	DAT	BEN	XY	DAT_BEN		maizer-s lile-šd x-a-txäm	PN-DAT PN-BEN IO3-VER:SUP-envy	‘Maizer envies Lile.’			
107	Svan	117	be_angry	X (be angry) with Y	злиться	X (злиться) на Y-а	x-e-xrin-äːl (PRS)	NOM	DAT	Y	NOM_DAT		maizer-Ø lile-s x-e-xrin-äːl	PN-NOM PN-DAT IO3-VER:R-become_angry-VPL	‘Maizer is angry with Lile.’			
107	Svan	118	be_surprised	X (be surprised) at Y	удивляться	X (удивляться) Y-у	x-a-sk'wrel (PRS)	DAT	NOM	X	DAT_NOM		maizer-s lile-š-xän-ka sačukar-Ø at-sak'wrel-ǝn	PN-DAT PN-GEN-ABL-EL gift-NOM PRV:DIST.IO3-be_surprised-PST	‘Maizer was surprised at the gift from Lile.’			
107	Svan	119	love2	X (love) Y	любить-2	X (любить) Y (чай/яблоки)	x-a-lät' (PRS)	DAT	NOM	X	DAT_NOM		maizer-s čai-Ø x-a-lät'	PN-DAT tea-NOM IO3-VER:SUP-love	‘Maizer loves tea.’			Same as 46.
107	Svan	120	enjoy	X (enjoy) Y	наслаждаться	X (наслаждаться) Y-ом	x-a-siäm (PRS)	DAT	NOM	X	DAT_NOM		maizer-s ätu čai-Ø x-a-siäm	PN-DAT hot tea-NOM IO3-VER:SUP-please	‘Maizer is pleased by hot tea.’			
107	Svan	121	want	X (want) Y	хотеть	X (хотеть) Y-а	x-a-k'-u (PRS)	DAT	NOM	X	DAT_NOM		maizer-s maxe mobilur-Ø x-a-k'-u	PN-DAT new cell_phone-NOM IO3-VER:SUP-want-PRS	‘Maizer wants a new cell phone.’			
107	Svan	122	have_a_grudge	X (have a grudge) against Y	сердиться	X (сердиться) на Y-а	Ø-i-xrin-äːl (PRS)	NOM	SUPERESS	Y	NOM_SUPERESS		maizer-Ø lile-ži Ø-i-xrin-äːl	PN-NOM PN-SUPERESS S3-VER:S-grudge-VPL	‘Maizer has a grudge against Lile.’			Same as 128.
107	Svan	123	take_offence	X (take_offence) at Y	обижаться	X (обижаться) на Y-а	x-a-sdik' (PRS)	DAT	ABL.EL	XY	DAT_ABL.EL	The use of the overt genitive marker on the noun, unlike some other "ABL-EL" forms, is conditioned morphonologically.	maizer-s lile-š-xän-ka at-sa-sdk'-ǝn	PN-NOM PN-GEN-ABL-EL PRV:DIST.IO3-AUG-offend-PST	‘Maizer took offence at Lile.’			čelo-Ø anučia-s gauc'q'ra.
107	Svan	124	upset	X (upset) Y	огорчать	X (огорчать) Y-а	gwi-s x-ä-zγun-e (PRS)	ERG	DAT	Y	ERG_DAT		maizer-d lile-s gwi-Ø a-γzigwn-e	PN-ERG PN-DAT heart-NOM PRV:DIST-[IO3]-hurt	‘Maizer greatly upset Lile.’			CV. Lit. ‘Maizer disturbed Lile’s heart’.
107	Svan	125	marvel	X (marvel) at Y	поражаться	X (поражаться) Y-у	xoča-Ø x-a-bž-a (PRS)	DAT	NOM	X	DAT_NOM		maizer-s al kaläk-Ø gun xoča-Ø la-x-baž-ǝn	PN-DAT DEM.PROX town very good-NOM PRV:SLIGHTLY.IO3-deem-PST	‘Maizer was impressed by this town a lot’ (lit. ‘Maizer felt like evaluating this town very well’).			CV. Same as 58, 129.
107	Svan	126	despise	X (despise) Y	презирать	X (презирать) Y-а	x-ä-sisg (PRS)	DAT	NOM	X	DAT_NOM		maizer-s gegi-Ø x-ä-sisg	PN-DAT PN-NOM IO3-VER:SUP-hate	‘Maizer despises of Gegi.’			Same as 57, 111. However, it is this verb that etymologically corresponds to the one provided in the Georgian dataset (#126), not to the one provided in (#57),
107	Svan	127	get_upset	X (get upset) with Y	огорчаться	X (огорчаться) из-за Y-а	gwi-Ø x-e-k'wšin-i (PRS)	DAT	GEN_guga	XY	DAT_GENguga		maizer-s miča č'q'int'-i guγa gwi-Ø lä-x-k'wäš	PN-DAT POSS3 boy-GEN because heart-NOM PRV:SLIGHTLY-IO3-hurt	‘Maizer got upset with his son’ (lit. ‘Maizer got his heart hurt because of his boy’).			CV
107	Svan	128	get_irritated	X (get irritated) with Y	раздражаться	X (раздражаться) на Y-а	Ø-i-xrin-äːl (PRS)	NOM	SUPERESS	Y	NOM_SUPERESS		maizer-Ø miča gezal-ži Ø-i-xrin-äːl	PN-NOM POSS3 child-SUPERESS S3-VER:S-grudge-VPL	‘Maizer is getting angry with his child.’			Same as 122.
107	Svan	129	be_fond	X (be fond) of Y	симпатизировать	X (симпатизировать) Y-у	xoča-Ø x-a-bž-a (PRS)	DAT	NOM	X	DAT_NOM		maizer-s gegi-Ø xoča-Ø x-a-bž-a	PN-DAT PN-NOM good-NOM IO3-VER:SUP-deem-PRS	‘Maizer is fond of Gegi’ (lit. ‘Maizer finds Gegi good’).			CV. Same as 58, 125.
107	Svan	130	be_shy	X (be shy) about Y	стесняться	X (стесняться) Y-а	x-o-šgur (PRS)	DAT	GEN	XY	DAT_GEN		maizer-s miča nak'latx-iš x-o-šgur	PN-DAT POSS3 height-GEN IO3-VER:O-be_shy	‘Maizer is shy of his height.’			
