predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	Abaza	Adyghe_West_Circassian	Aghul	Akhvakh_Northern	Albanian	Andi_Zilo	Arabic_Northern_Syrian	Arabic_South_Levantine_Nazareth	Arabic_Standard	Archi	Armenian_Eastern	Assyrian_Neo_Aramaic	Avar	Azerbaijani	Bafut	Bagvalal	Bambara	Bashkir	Basque	Belarusian	Bengali	Budugh	Bulgarian	Buriat	Catalan	Chechen	Chinese_Mandarin	Chirag	Chukchi	Chuvash	Croatian	Czech	Danish	Dargwa_Itsari	Dargwa_Kadar	Dargwa_Kaytag	Dargwa_Kubachi	Dargwa_Tsudakhar	Dargwa_Tsugni	Dutch	Enets_Forest	English	Erzya	Estonian	Evenki	Finnish	Finnish_Ingrian	French	Gascon	Gban	Georgian	German	Goo	Greek_Ancient	Greek_Modern	Guarani_Paraguayan	Guro	Hebrew_Modern	Hindi	Hungarian	Icelandic	Indonesian_Standard	Ingush	Irish	Italian	Japanese	Joola_Fonyi	Kalmyk	Karata	Kazakh	Khanty_Kazym	Khmer	Khoekhoe	Khwarshi	Komi_Permyak	Komi_Zyrian	Kpelle_Guinean	Kryz_Alik	Kryz_Ismayilli	Kryz_Proper	Kumyk	Kurdish_Sorani	Kurmanji_Northern_Kurdish	Lak_Quba	Latin	Latvian	Laz	Lezgian	Lezgian_Yargun	Lithuanian	Loma	Macedonian	Maltese	Mandinka	Maninka_Eastern	Mano	Mansi_Northern	Mari_Western	Mehweb	Mingrelian	Moksha	Nanai	Nivkh	Norwegian_Bokmal	Oromo_West_Central	Ossetic	Persian	Polish	Portuguese_Brazilian	Romani_Kalderash	Romanian	Russian	Rutul_Kina	Rutul_Mukhad	Rutul_Myukhrek	Rutul_Shin_Borch	Rutul_Shinaz	Saami_Skolt	Saami_South	Sagada	Serbian	Shughni	Slovak	Slovenian	Soninke	Spanish	Svan	Swedish	Tabasaran_Kandyk	Tagalog	Telugu	Tsakhur	Tswana	Turkish	Turoyo	Tuvinian	Twi	Udi	Udihe	Udmurt	Ukrainian	Ulcha	Uzbek	Wolof	Yakut	Yukaghir_Northern	Zazaki
25	think	X (think) about Y	думать	X (думать) об Y-е (об отце)	ABS_BEN	ABS_DAT	ERG_SUBCONT.ELAT	NOM_POSS	NOM_perACC	NOM_SUPER.LAT	SBJ_b	SBJ_bi	NOM_biGEN	NOM_DATxir	NOM_DATmasin	SBJ_bar		TR	TR	NOM_LOCLAT	SBJ_la	NOM_turahenda	ERG_INS	NOM_praACC	NOM_niye	ERG_LOCgure	SBJ_za	TR	SBJ_en	DAT_ABS	TR	ABS_GEN	ABS_ALL	NOM_cinABL	NOM_naACC	NOM_oLOC	SBJ_pa	ABS_CONT	DAT_NOM	NOM_GENcevtar	NOM_SUPERABL	NOM_GENcela	NOM_SUPER.ABL.DOWN	SBJ_aan	TR	SBJ_about	NOM_ABL	NOM_ELA	NOM_PROL	NOM_PART	NOM_EL	SBJ_a	SBJ_a	SBJ_ye	ERG_DAT.SUPERESS/SUPERLAT	NOM_anACC	SBJ_wunka	TR	TR			SBJ_al	ERG_OBLke.bare.me	NOM_SUB	NOM_umACC	SBJ_tentang	ERG_LAT	SBJ_ar	SBJ_a	TR	TR	NOM_GENtuskar		NOM_turaly	NOM_NOMolenen	SBJ_dal	SBJ_xa	ABS_SUPER	NOM_ponda	NOM_jilis	SBJ_bha	NOM_baraca	NOM_INESShaqqina	NOM_GENhaqhina	NOM_GENhaqinda	SBJ.TR_le	SBJ.INTR_li.serOBL	NOM_SUPEL	TR	NOM_parACC	TR	ERG_SBEL	ERG_SUB/POSTEL	NOM_apieACC	SBJ_su	SBJ_na	SBJ_fuq		SBJ_ma	SBJ_mo	NOM_EL	NOM_gisan	NOM_GEN	ERG_ABL	NOM_kolga	TR	SBJ_DAT/ADD	SBJ_pa	NOM_waa7eeGEN	NOM_SUPER	NOM_beNOM	NOM_oLOC	SBJ_em	NOM_pa	NOM_la	NOM_oLOC	ERG_INTER.EL	ERG_CONTEL	ERG_CONTEL		ERG_CONTEL	TR	NOM_ILL	ABS_CONT	NOM_naACC	TR	NOM_oLOC	NOM_oLOC	SBJ_yi	SBJ_en	ERG_SUPERESS/SUPERLAT	SBJ_pa	ERG_CONT.ELAT	ACT_LOC	NOM_OBLgurinci	NOM_ATTRhakee	SBJ_ka	TR	SBJ_b	NOM_GENdugajynda	SBJ_ho	ERG_ABL	TR	NOM_NOMsaris	NOM_proACC	TR	NOM_haqida	TR	NOM_tuhunan 		SBJ.INTR_sero.PSTP
26	eat	X (eat) Y	есть	X (есть) Y	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR		TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR
27	fry	X (fry) Y	жарить	X (жарить) Y	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	SUB_ba	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR		TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR
28	wait	X (wait) for Y	ждать	X (ждать) Y-а (сына)	ABS_BEN	ABS_DAT	ABS_POST.LAT	NOM_LAT	TR	NOM_SUPER.LAT	TR	TR	TR	NOM_SUP.LAT	TR	SBJ_al	NOM_APUD	TR	TR		TR	TR	ERG_DAT	TR	NOM_GENjanya	ERG_LOC	TR	TR	TR	ABS_ALL	TR	ABS_SUPER	TR	TR	TR	NOM_naACC	SBJ_pa	ABS_POST.LAT	NOM_SUPER	NOM_DATLAT	NOM_DAT	NOM_SUPER(LAT)	NOM_SUPER(LAT)	SBJ_op	TR	SBJ_for	TR	NOM_PART	TR	NOM_PART	NOM_PART	TR	TR	TR	NOM_DAT	NOM_aufACC	SBJ_gon	TR	TR	TR	TR	SBJ_le	ERG_GEN	NOM_SUB	NOM_eftirDAT	TR	NOM_ALL	SBJ_le	TR	TR	TR	TR	NOM_APUD	TR	TR	TR	TR	ABS_CONT.LAT	TR	TR	TR	TR	TR	TR	TR			NOM_POST	TR	TR	TR	TR	TR	NOM_GEN	TR	TR	TR	TR	TR	TR	TR	TR	NOM_SUPER.LAT	NOM_DAT	TR	TR	TR	SBJ_pa	TR	NOM_ALL		NOM_naACC	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	ABS_ALL	TR	NOM.NO.CL_PREP.UP	NOM_naACC	TR	TR	TR	NOM_DAT	SBJ_pa	ABS_DAT	TR	NOM_OBLkosamu	TR	TR	TR	TR	TR	TR		TR	TR	TR	TR	TR	TR	TR	TR	SBJ.INTR_sero.PSTP
29	forget	X (forget) (about) Y	забывать	X (забывать) об Y-е	LOCq_ABS	LOC_ABS	DAT_ABS	DAT_NOM	NOM_perACC	AFF_NOM	TR	TR	TR	DAT_NOM	NOM_DATmasin	TR	LOC_NOM	TR	TR	AFF_NOM	SBJ_ko	TR	DAT_ABS	NOM_praACC	NOM_GENkatha	TR	SBJ_za	TR	TR	DAT_ABS	SUB_ba	SUPER_ABS	TR	NOM_cinABL	NOM_GEN	NOM_naACC	TR	SUPER.LAT_CONT	TR	NOM_GENcevtar	DAT_NOM	DAT_NOM	DAT_NOM	TR	TR	SBJ_about	TR	TR		TR	TR				DAT_NOM	TR	zuu_ka	NOM_GEN	TR	INACT_gui		TR	DIR_OBLke.bare.me	NOM_DEL	NOM_DAT	TR	DAT_NOM	SBJ_ar	SBJ_di	TR	TR	NOM_GENtuskar	DAT_NOM	TR	TR	TR	TR	DAT_ABS	NOM_vylis	NOM_jilis	SBJ_bha	TR	TR	TR	TR	EXT_SBJ.INTR	TR	DAT_SUPEL	NOM_GEN	NOM_parACC	DAT_NOM		GEN_NOM	NOM_apieACC	SBJ_ma	SBJ_za	TR	SBJ_la	SBJ_la	SBJ_mo	TR	NOM_gisan	CONT.LAT_NOM	DAT_ERG	TR	TR	SBJ_INS	TR	TR	TR	TR	NOM_oLOC	SBJ_de	NOM_pa	TR	NOM_oLOC	DAT_NOM	DAT_NOM	DAT_NOM	DAT_NOM	DAT_NOM	TR	TR	DAT_ABS	NOM_naACC	NOM.CL_EL	NOM_naACC	NOM_naACC	SBJ_yi	DO_SBJ	DAT_NOM	TR	DAT_ABS	TR	NOM_OBLgurinci	ADEL_NOM	TR	TR	SBJ.SS_DO.LS	NOM_GENdugajynda	TR	TR	TR	NOM_NOMsaris	NOM_proACC	TR	TR	TR	NOM_tuhunan 	TR	TR
30	depend	X (depend) on Y	зависеть	X (зависеть) от Y-а		ABS_DAT		NOM_LAT	NOM_ngaNOM		SBJ_b	SBJ_bi	NOM_biGEN	NOM_GENlwana	NOM_ABL		NOM_LOC	NOM_ABL			SBJ_la	NOM_DAT	ABS_baitan	NOM_adGEN	NOM_GENopar	NOM_ABL	SBJ_ot	NOM_COM	SBJ_amb	ABS_ALL		ABS_hisable		NOM_ABL	NOM_oLOC	NOM_naLOC	SBJ_af	ABS_IN.EL						SBJ_van	NOM_ABL	SBJ_on	NOM_ejELA	NOM_ELA		NOM_ELA	NOM_EL	SBJ_de	SBJ_de	SBJ_nen	NOM_DAT.SUPERESS/SUPERLAT	NOM_vonDAT		NOM_GEN	NOM_apoACC	ACT_rehe	SBJ_ba	SBJ_be	ERG_OBLpar	NOM_ABL	NOM_DAT	SBJ_BARE		SBJ_ar	SBJ_da	NOM_DAT		NOM_ABL	NOM_LAT	NOM_DAT		SBJ_lo	SBJ_ai	ABS_CONT.LAT	NOM_EGR	NOM_sajin		NOM_ADEL	NOM_ADEL	NOM_ADEL	NOM_ABL	SBJ.INTR_le.ser	SBJ.INTR_biOBLve		NOM_exABL	NOM_noGEN	NOM_INS	ABS_SREL	NOM_SUPEL	NOM_nuoGEN		SBJ_od	SBJ_minn	SBJ_la	SBJ_do(POST)			NOM_dono		NOM_ALL	NOM_EL/ezda	NOM_ABL		SBJ_av	NOM_ABSirratti	NOM_COM	NOM_beNOM	NOM_odGEN	SBJ_de	NOM_ABL	NOM_de	NOM_otGEN		NOM_SUPEREL		NOM_SUPEREL	NOM_EL			ABS_SUPER	NOM_odGEN	NOM.NO.CL_EL	NOM_odGEN	NOM_odGEN		SBJ_de	NOM_SUPERESS/SUPERLAT	SBJ_pa	ABS_SUPER.ELAT	SBJNV_LOC	NOM_OBLmida	NOM_CONTEL	SBJ_ke	NOM_DAT	SBJ_7am	NOM_ABL	SBJ_so	ABS_ABL		NOM_ABL	NOM_vidGEN		NOM_DAT	SBJ_ci	NOM_ABL		
31	call	X (call) Y	звать	X (звать) Y-а	TR	ABS_DAT	ERG_DAT	TR	TR	TR	SBJ_l	SBJ_ala	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	ERG_DAT	TR	TR	TR	TR	TR	SBJ_NDIR.OBJ	ABS_ALL	TR	ERG_SUPER	TR	TR	TR	NOM_naACC	SBJ_pa	ERG_IN.LAT	TR	ERG_INTER	ERG_DAT	ERG/LOC(LAT)_INTER(LAT)	ERG_INTER(LAT)	TR	TR	TR	TR	NOM_ALL	TR	NOM_PART	TR	TR	TR	TR	ERG_DAT	NOM_nachDAT	TR	TR	TR	TR	TR	SBJ_le	TR	TR	NOM_iACC	TR	TR	SBJ_ar	TR	TR	TR	TR	TR	TR	TR		TR	TR	TR	TR	TR	ERG_DIR	TR	ERG_APUD	TR	SBJ.TR_bo		GEN_SUPLAT	TR	TR	ERG_DAT	ERG_DAT	ERG_DAT	TR	TR	TR	SBJ_lil	TR	TR	TR	TR	TR	TR	ERG_DAT	TR	TR	TR	SBJ_pa	TR	NOM_ALL	TR	TR	TR	TR	TR	TR	ERG_SUB	ERG_APUD	ERG_APUD	ERG_APUD	ERG_APUD	TR	TR	TR	TR	TR	TR	TR	TR	TR	ERG_DAT	SBJ_pa	ERG_DAT	TR	TR	TR	TR	TR	SBJ_IO	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	SBJ.TR_ra.PREP
32	get_to_know	X (get to know) Y	знакомиться	X (знакомиться) с Y-ом	ABS_SOC	ABS_BEN	ABS_COM	POSS_COM	NOM_meACC	AFF_NOM	SBJ_3ala	SBJ_ala	NOM_alaaGEN	DAT_NOM	NOM_DAThet	TR	ERG_GENgun	NOM_ile	TR		TR	NOM_menan	TR	NOM_zINS	NOM_GENsange	NOM_COM	SBJ_s	NOM_COM	TR	DAT_ABS	TR	SUPER_ABS	TR	NOM_INS	NOM_sINS	NOM_sINS	TR	ABS_COM		TR	DAT_NOM		NOM_COM	SBJ_met		TR	NOM_marto	NOM_COM	TR	NOM_ILL	NOM_GENkans			TR	TR	TR	TR		NOM_meACC		TR	TR	DIR_ABL	TR	NOM_DAT	SBJ_dengan	DAT_NOM	SBJ_le	TR	NOM_CONTR	TR	NOM_COM	POSS_COM	NOM_INS	NOM_NOMpila		TR		NOM_COM	NOM_COM	TR	DAT_NOM	NOM_INESS.INS	NOM_GENqan	NOM_NOMbulan	SBJ.INTR_legel	TR	DAT_NOM	TR	NOM_arACC	TR	ABS_POESSgalaz	NOM_SUB/POSTgalaz	NOM_suINS	TR	SBJ_so	TR	TR	TR	TR		NOM_dono	CONT.LAT_NOM	TR	NOM_marxta	NOM_INS		SBJ_med	TR	NOM_COM	NOM_baNOM	NOM_zINS	TR	NOM_INS	NOM_cu	NOM_sINS	NOM_COM	NOM_COM	NOM_COM	NOM_COM	NOM_COM	NOM_COM	TR		TR	NOM.NO.CL_INS	TR	NOM_zINS	TR	TR	TR	TR	ABS_POST.DIR	TR	NOM_OBLgurinci	NOM_COM	SBJ_le	NOM_COM	SBJ.SS_DO.LS	NOM_COM	TR	ABS_ABL		NOM_INS	NOM_zINS		NOM_bilan	SBJ_ak	NOM_COM	NOM_COM	TR
33	know	X (know) Y	знать	X (знать) Y-а	TR	TR	DAT_ABS	DAT_NOM	TR	AFF_NOM	TR	TR	TR	DAT_NOM	TR	TR	LOC_NOM	TR	TR	AFF_NOM	TR	TR	TR	TR	TR	DAT_NOM	TR	TR	TR	DAT_ABS	TR	SUPER_ABS	TR	TR	TR	TR	TR	SUPER.LAT_ABS	TR	TR	DAT_NOM	DAT_NOM	DAT_NOM	TR	TR	TR	TR	NOM_PART	TR	TR	TR	TR	TR	TR	NOM_DAT	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	DAT_NOM	aige_ar	TR	TR	TR	TR	DAT_NOM	TR	TR	TR	TR	DAT_ABS	TR	TR	TR	DAT_NOM	DAT_NOM	DAT_NOM	TR	TR	TR	DAT_NOM	TR	TR	TR	DAT_ABS	DAT_NOM	TR	TR	TR	TR	TR	TR	TR	TR	TR	CONT.LAT_NOM	NOM_DAT	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	DAT_NOM	DAT_NOM	DAT_NOM	DAT_NOM	DAT_NOM	TR	TR	DAT_ABS	TR	TR	TR	TR	TR	TR	NOM_DAT	TR	DAT_ABS	ACT_SBJNV	DAT_NOM	AFF_NOM	TR	TR	SBJ.SS_DO.LS	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR
34	play#instrument#	X (play) Y	играть	X (играть) на Y-е	ABS_IO	ABS_DAT	TR	TR	NOM_DAT	TR	SBJ_3ala	SBJ_ala	NOM_alaaGEN	TR	NOM_NOM(NO.AGR)	SBJ_al	TR	TR	TR		TR	NOM_LOC	TR	NOM_naLOC	TR	TR	SBJ_na	NOM_deere	TR	TR	TR	ERG_GEN		NOM_cinLOC	TR	NOM_naACC	TR	TR	TR	TR	TR	TR	TR	TR	NOM_LOC	TR	NOM_INE	NOM_PART	NOM_INSTR	NOM_PART	NOM_AD	SBJ_de	SBJ_de	TR	ERG_DAT.SUPERESS/SUPERLAT	NOM_aufDAT	TR		TR		TR	SBJ_be	TR		NOM_aACC	TR	TR	TR	TR	TR	TR	TR	NOM_DAT	NOM_LOC	NOM_LOC	TR	TR	TR	NOM_INS	NOM_vilin	TR	TR	TR	TR	NOM_NOMbulan	TR	SBJ.TR_liOBL	TR	NOM_ABL	TR	TR	TR	TR	NOM_INS	TR	SBJ_na	TR	TR	TR	TR	NOM_INS	TR	TR	ERG_DAT	NOM_IN/marxta	NOM_INS	SBJ_INS	TR	TR	NOM_SUPER	TR	NOM_naLOC	TR	NOM_pe	NOM_la	NOM_naLOC	TR	NOM_SUPER	TR	TR	TR	NOM_COM	TR	TR	TR	NOM.CL_SUP	NOM_naLOC	TR	TR	TR	NOM_SUPERESS/SUPERLAT	TR	TR	TR	TR	TR	TR	TR	SBJ_7al	NOM_LOC	TR	TR	NOM_INS	NOM_INS	NOM_naLOC	NOM_INS	NOM_LOC	TR	NOM_DAT	NOM_INS	TR
35	avoid	X (avoid) Y	избегать	X (избегать) Y-а		ERG_LOC			NOM_GEN	NOM_CONT.EL	TR	TR	TR		NOM_ABL	SBJ_men	NOM_EL	NOM_ABL	TR		TR	NOM_ABL	ERG_DAT	NOM_GEN	TR	NOM_ABL	TR	NOM_COM	TR	ERG_LAT	TR		TR	NOM_ABL	TR	NOM_DAT	TR	ABS_ANTE.EL	NOM_EL	NOM_ANTEL	ERG_COM		NOM_ANTE.ABL.DOWN	TR		TR	NOM_ejELA	NOM_PART		NOM_PART	NOM_EL	TR	TR	SBJ_di	ERG_DAT	TR		TR	TR		SBJ_ba	SBJ_mi	DIR_ABL	TR	TR	SBJ_dari	NOM_LAT	TR	TR	TR	TR	NOM_ABL	NOM_CONTEL	NOM_ABL	NOM_NOMewelt		TR	ABS_CONT.EL	NOM_shogja	NOM_ELA	SBJ_bha	NOM_PART	NOM_ADEL	NOM_SUBEL	NOM_ABL	SBJ.TR_le	SBJ.INTR_jiOBL	NOM_SUPEL	TR	NOM_noGEN	NOM_DAT	ERG_SBEL	NOM_SUB/POSTEL	NOM_GEN	TR	TR	TR	TR	TR	TR	NOM_EL	NOM_gec		ERG_DAT	NOM_ABL/ezda	TR		TR	TR	NOM_ABL	NOM_azNOM	NOM_GEN	TR	NOM_ABL	TR	NOM_GEN	NOM_SUP.EL	ERG_SUPEREL	NOM_SUPEREL	NOM_SUPEREL	NOM_EL	TR	TR	ABS_APUD.ABL	TR	NOM.NO.CL_EL	NOM_DAT	NOM_DAT	TR	TR	NOM_DAT	TR	ABS_APUD.ELAT	ACT_LOC	NOM_ABL	NOM_CONTEL	TR	NOM_ABL	SBJ_m	NOM_ABL	TR	ABS_ABL	NOM_ABL	NOM_ABL	NOM_GEN	NOM_INS	NOM_ABL	TR	TR	NOM_ABL	SBJ.TR_ra.PSTP
36	make	X (make) Y	изготовить	X (изготовить) Y	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR		TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR
37	make_fun	X (make fun) of Y	издеваться	X (издеваться) над Y-ом	TR	TR	ERG_SUBCONT.ELAT	NOM_LOCla	NOM_meACC	NOM_SUPER	SBJ_3ala	SBJ_ala	NOM_alaaGEN	TR	TR	SBJ_bi	NOM_LOCtad	NOM_DATLAT	TR		SBJ_ma	NOM_ABL	ABS_INS	NOM_zGEN	NOM_niye	NOM_LOC	SBJ_DAT(na)	TR	SBJ_de	TR	SBJ_na	TR	ABS_ALL	NOM_ABL	NOM_DAT	NOM_DAT	SBJ_med	ABS_SUPER.LATchi	NOM_SUPER	NOM_DATLAT	TR	TR		TR	TR	SBJ_of	NOM_langINE	NOM_GENule	TR	NOM_PART	TR	SBJ_de	SBJ_de	TR	NOM_DAT	NOM_uberACC	SBJ_bha	TR	TR			TR	ERG_GEN	TR	NOM_adDAT	TR	ERG_DAT	TR	TR	TR	TR	TR	NOM_CONTka7agal	TR	TR		TR	ABS_SUPER	NOM_vylyn	NOM_vilin	SBJ_bha	ERG_PART	NOM_SUPER	NOM_SUB	TR	SBJ.TR_be	SBJ.TR_biOBL	GEN_SUP	TR	NOM_parACC	ERG_DAT	ERG_SBEL	ERG_SUB/POSTEL	NOM_isGEN	SBJ_zu	SBJ_nad	SBJ_lil	SBJ_la	TR	SBJ_mo		TR	NOM_SUPER.ESS	ERG_DAT	NOM_lanksa	TR		SBJ_av	NOM_LOC	NOM_ABL	TR	NOM_zGEN	SBJ_de	NOM_ABL	NOM_de	NOM_nadINS	ERG_SUP	ERG_CONTEL	ERG_SUPEREL	TR	NOM_SUPER	TR	TR	TR	TR	NOM.CL_EL	NOM_zGEN	NOM_izGEN	SBJ_yi	SBJ_de	NOM_DAT	SBJ_av	ABS_SUPER	ACT_LOC	TR	TR	TR	NOM_COM	SBJ.SS_7al	TR	SBJ_ho	ERG_DAT	TR		NOM_zGEN	TR	NOM_ACCustidan	TR	TR	TR	SBJ.TR_pe.PREP
38	have	X (have) Y	иметь	X (иметь) Y	IO_ABS	POSS_ABS	POST_ABS	POSS_NOM	TR	GEN_NOM	EXT&3end_BARE	EXT&ind_BARE	indaGEN_NOM	GEN_NOM	TR	OBJAGR_BARE	GEN_NOM	GEN_NOM	TR		bolo_SBJ	GEN_NOM	TR	uGEN_NOM	GEN_NOM	APUD_NOM	TR	DAT_NOM	TR	GEN_ABS	TR	GEN_ABS	POSS_ABS	GEN_NOM	TR	TR	TR	GEN_ABS	GEN_NOM	GEN_NOM	GEN_NOM	GEN_NOM	GEN_NOM	TR	TOP_NOM	TR	GEN_NOM	ADESS_NOM	NOM_ORN	ADE_NOM	AD_NOM	TR	TR	kon_SBJ	DAT_NOM	TR	gon_SBJ	TR	TR	TR	lee_SBJ	le_SBJ	OBLke.pas_DIR	DAT_NOM	TR	TR	GEN_NOM	aige_SBJ	TR	TR	TR	NOM_ASSOC	POSS_NOM	LOC_NOM	TR	TR	TR	GEN1_ABS	GEN_NOM	GEN_NOM	yei_SBJ	APUD_NOM	SUPER_NOM	APUD_NOM	GEN_NOM	EXT_SBJ.INTR	IO_SBJ.INTR	CONT_NOM	TR	DAT_NOM	DAT_NOM	POESS_ABS	DAT_NOM	TR	ya_SBJ	TR	TR	TR	bolo_SBJ	kele_SBJ	TR	GEN_NOM	GEN_NOM	DAT_NOM	GEN_NOM	DAT_NOM	TR	TR	TR	ALL_NOM	TR	TR	TR	LOC_NOM	TR	uGEN_NOM	SUB_NOM	APUD_NOM	APUD_NOM	APUD_NOM	APUD_NOM	LOC_NOM	TR	GEN1_ABS	TR	LOC_NOM.NO.CL	TR	TR	maxa_SBJ	TR	DAT_NOM	TR	DAT_ABS	SBJNV_BARE	DAT_NOM	LAT_NOM	SBJ_le/BARE	GEN_NOM	OBJAGR_BARE	LOC_NOM	TR	GEN_ABS	NOM_ORN	GEN_NOM	uGEN_NOM	DAT_NOM	GEN_NOM	TR	NOM_ADJ		
39	look_for	X (look for) Y	искать	X (искать) Y(-а)	ABS_BEN	ABS_LOC.AFTER	ABS_POST.LAT	NOM_NOM(NO.AGR)	TR	TR	SBJ_3ala	SBJ_ala	NOM_anGEN	TR	TR	SBJ_bar	TR	TR	TR	TR	TR	TR	TR	TR	TR	NOM_DIR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	SBJ_efter	ABS_POST.EL	NOM_SUPER	NOM_SUPER	NOM_DAT	NOM_SUPER(LAT)	NOM_POST	TR	TR	SBJ_for	TR	NOM_PART	TR	NOM_PART	NOM_PART	TR	TR	SBJ_nen	NOM_DAT	TR	TR	TR	TR	TR	TR	TR	TR	TR	NOM_adDAT	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	NOM_INESSuni	ERG_APUD	TR	SBJ.INTR_le	SBJ.TR_liOBL	NOM_POST	TR	TR	TR	TR	NOM_SUB/POST	NOM_GEN	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	SBJ_etter	TR	TR	NOM_donbal.IZAF.NOM	NOM_GEN	TR	TR	TR	TR	TR	TR	TR	TR	NOM_APUD	TR	TR	TR	TR	TR	TR	TR	TR	TR	NOM_DAT	SBJ_efter	ABS_POST	TR	NOM_OBLkosamu	TR	TR	TR	SBJ.SS_7al	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	SBJ.INTR_ro.PREP
40	paint	X (paint) Y	красить	X (красить) Y	TR	TR	ERG_DAT	ERG_LOC	TR	TR	TR	TR	TR	TR	TR	TR	ERG_LOC	TR	TR		TR	TR	TR	TR	NOM_LOC/INS	TR	TR	TR	TR	ERG_LAT	SBJ_gei	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	SBJ_nen	TR	TR		TR	TR		SBJ_ba	TR	TR	TR	TR	TR	ERG_DAT	TR	TR	TR	TR	TR	ERG_DAT	TR	TR	TR	TR	ERG_CONT	TR	TR	SBJ_bha	TR	TR	TR	TR	TR	TR	GEN_SUPTRANS	TR	TR	ERG_DAT	ERG_DAT	ERG_DAT	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	ERG_DAT	ERG_DAT	ERG_IN	ERG_CONT	ERG_DAT	TR	TR	ERG_POSS	TR	TR	TR	TR	TR	TR	TR	TR	ERG_DAT	TR	NOM_DAT	ERG_DAT	TR	TR	SBJ_b	TR	SBJ_ho	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR
